class,type,cell,microscope,filename,filetype,filepath,id_file,date,id_scene,pixel_size_z,pixel_size_y,pixel_size_x,id_scene_count,z,y,x,filepath_segmented,bad_segmentation,id_segment,segmented_filename
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-38-Airyscan Processing-90.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-38-Airyscan Processing-90.czi,31,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,54.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-31_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-31_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-4-Airyscan Processing-56.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-4-Airyscan Processing-56.czi,33,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,71.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-33_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-33_idscene-0_one_bad.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-41-Airyscan Processing-93.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-41-Airyscan Processing-93.czi,34,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,64.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-34_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-34_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-5-Airyscan Processing-55.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-5-Airyscan Processing-55.czi,36,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,54.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-36_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-36_idscene-0_one_bad.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-7-Airyscan Processing-58.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-7-Airyscan Processing-58.czi,38,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,64.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-38_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-38_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-8-Airyscan Processing-59.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-8-Airyscan Processing-59.czi,39,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,71.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-39_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-39_idscene-0_one_bad.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-9-Airyscan Processing-60.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-9-Airyscan Processing-60.czi,40,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,67.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-40_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-40_idscene-0_one_bad.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-1-Airyscan Processing-03.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-1-Airyscan Processing-03.czi,41,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,47.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-41_idscene-0.npz,0,0.0,NS_Wildtype_WT_Airyscan_all_idfile-41_idscene-0.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-10-Airyscan Processing-12.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-10-Airyscan Processing-12.czi,42,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,44.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-42_idscene-0.npz,0,0.0,NS_Wildtype_WT_Airyscan_all_idfile-42_idscene-0.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-10-Airyscan Processing-12.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-10-Airyscan Processing-12.czi,42,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,44.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-42_idscene-0.npz,0,1.0,NS_Wildtype_WT_Airyscan_all_idfile-42_idscene-0.npz
